dim,dim_cn,decile,H,n,gross,exw,t
ret5,过去5日涨幅,6,60,1020789,0.03397682309150696,0.004640439059585333,14.045343389605073
ret5,过去5日涨幅,7,5,1049547,0.003771951887756586,0.0008508938481099904,7.0280823955011025
ret5,过去5日涨幅,7,10,1046894,0.007331248372793198,0.0016021985793486238,9.415821190501834
ret5,过去5日涨幅,7,20,1041602,0.013453387655317783,0.002252875594422221,9.658205723254625
ret5,过去5日涨幅,7,60,1020511,0.03387432172894478,0.004497614223510027,12.559663033361701
ret5,过去5日涨幅,8,5,1049404,0.0035405452363193035,0.0004859756154473871,3.2009178111320615
ret5,过去5日涨幅,8,10,1046757,0.006949508562684059,0.0009809680050238967,4.5420322730346205
ret5,过去5日涨幅,8,20,1041464,0.012378104962408543,0.0010085876565426588,3.4931757189586223
ret5,过去5日涨幅,8,60,1020373,0.03154148906469345,0.001743339467793703,3.996776144006513
ret5,过去5日涨幅,9,5,1049563,0.0024845022708177567,-0.0007298648706637323,-3.576398418827616
ret5,过去5日涨幅,9,10,1046919,0.005171525292098522,-0.0010384435299783945,-3.6001897411615524
ret5,过去5日涨幅,9,20,1041623,0.00947329867631197,-0.0022761065047234297,-5.741405708031115
ret5,过去5日涨幅,9,60,1020524,0.026794560253620148,-0.0036252783611416817,-6.044948382895855
ret5,过去5日涨幅,10,5,1051020,-0.002341475337743759,-0.0054357824847102165,-15.66982435051237
ret5,过去5日涨幅,10,10,1048361,-0.002018636791035533,-0.008182000368833542,-17.73766451775467
ret5,过去5日涨幅,10,20,1043058,-0.0005771408323198557,-0.012684510089457035,-19.78070464646881
ret5,过去5日涨幅,10,60,1021949,0.010034753009676933,-0.020943360403180122,-22.593704861220946
ret20,过去20日涨幅,1,5,1044644,0.00420901644974947,0.0014875560300424695,4.546685595898318
ret20,过去20日涨幅,1,10,1042002,0.007569576147943735,0.0021335124038159847,4.864072232558237
ret20,过去20日涨幅,1,20,1036713,0.014515875838696957,0.00374809093773365,6.340011100967163
ret20,过去20日涨幅,1,60,1015646,0.029384629800915718,0.0005832932074554265,0.6513495884623051
ret20,过去20日涨幅,2,5,1046068,0.0037052733823657036,0.0009736864012666047,4.640732289441188
ret20,过去20日涨幅,2,10,1043418,0.0073967184871435165,0.002030403586104512,7.0606550803080905
ret20,过去20日涨幅,2,20,1038120,0.01473276223987341,0.003913162276148796,9.495692378535509
ret20,过去20日涨幅,2,60,1017015,0.03348570689558983,0.004844514187425375,7.671787807074428
ret20,过去20日涨幅,3,5,1046346,0.0038627025205641985,0.001146776950918138,7.209421805137664
ret20,过去20日涨幅,3,10,1043702,0.00756380008533597,0.0022201701067388058,9.56562972698769
ret20,过去20日涨幅,3,20,1038415,0.014606265351176262,0.0037620929069817066,11.605709762802448
ret20,过去20日涨幅,3,60,1017312,0.034601639956235886,0.006180873140692711,12.811329636735643
ret20,过去20日涨幅,4,5,1046068,0.003845866769552231,0.001038642949424684,8.203025491493944
ret20,过去20日涨幅,4,10,1043420,0.007556156720966101,0.0020752353593707085,11.32711886745457
ret20,过去20日涨幅,4,20,1038137,0.01451190747320652,0.003631219267845154,13.771921603246252
ret20,过去20日涨幅,4,60,1017048,0.03437074273824692,0.006190575193613768,16.255155818705106
ret20,过去20日涨幅,5,5,1045798,0.004020117223262787,0.0012088892981410027,10.866305477263253
ret20,过去20日涨幅,5,10,1043163,0.0075930203311145306,0.002118119038641453,12.99380305033743
ret20,过去20日涨幅,5,20,1037873,0.013992106541991234,0.003089746693149209,13.602184799953855
ret20,过去20日涨幅,5,60,1016799,0.03441726788878441,0.0063450089655816555,18.89391765098417
ret20,过去20日涨幅,6,5,1046537,0.003933551721274853,0.0010248740436509252,9.306377629843164
ret20,过去20日涨幅,6,10,1043877,0.007380187511444092,0.0017257017316296697,11.246476825554033
ret20,过去20日涨幅,6,20,1038583,0.013461628928780556,0.002371781272813678,10.755947214705273
ret20,过去20日涨幅,6,60,1017491,0.033397890627384186,0.005185768939554691,15.044145039730935
ret20,过去20日涨幅,7,5,1046440,0.003649648744612932,0.00066612777300179,5.335030154713254
ret20,过去20日涨幅,7,10,1043796,0.006888739299029112,0.00102795974817127,6.059893105130785
ret20,过去20日涨幅,7,20,1038493,0.012336957268416882,0.0011600181460380554,4.803936608002944
ret20,过去20日涨幅,7,60,1017396,0.0314309187233448,0.0029168089386075735,7.775994510057094
ret20,过去20日涨幅,8,5,1046029,0.003050643252208829,-5.635993875330314e-05,-0.3520616976103819
ret20,过去20日涨幅,8,10,1043376,0.005516791716217995,-0.0005460117827169597,-2.474537001793515
ret20,过去20日涨幅,8,20,1038086,0.009761646389961243,-0.0016835989663377404,-5.515223542891048
ret20,过去20日涨幅,8,60,1016986,0.02764376811683178,-0.0013498880434781313,-2.8621170285552817
ret20,过去20日涨幅,9,5,1046337,0.001628472818993032,-0.001651465310715139,-7.3720038294534795
ret20,过去20日涨幅,9,10,1043687,0.003006127430126071,-0.003357775742188096,-10.385656317189072
ret20,过去20日涨幅,9,20,1038379,0.006074339617043734,-0.005943126045167446,-13.100090994636657
ret20,过去20日涨幅,9,60,1017295,0.021785752847790718,-0.007966355420649052,-12.272770525025773
ret20,过去20日涨幅,10,5,1047730,-0.0026808069087564945,-0.006003870628774166,-15.246943242066214
ret20,过去20日涨幅,10,10,1045073,-0.00312801287509501,-0.009685995988547802,-17.513236123800816
ret20,过去20日涨幅,10,20,1039782,-0.001997739542275667,-0.014376393519341946,-18.099047693202223
ret20,过去20日涨幅,10,60,1018669,0.006714250426739454,-0.0237140990793705,-22.556398360664268
ret60,过去60日涨幅,1,5,1035893,0.004819408990442753,0.0022388577926903963,7.222071567002789
ret60,过去60日涨幅,1,10,1033256,0.008348534815013409,0.003425504080951214,7.958443153344139
ret60,过去60日涨幅,1,20,1027972,0.01386241428554058,0.004308699630200863,7.219462797317676
ret60,过去60日涨幅,1,60,1006895,0.022835034877061844,-3.8685993786202744e-05,-0.04675113196174036
ret60,过去60日涨幅,2,5,1037308,0.003983084578067064,0.0014446716522797942,6.972819142892551
ret60,过去60日涨幅,2,10,1034662,0.007251216564327478,0.0022554812021553516,7.762196279823433
ret60,过去60日涨幅,2,20,1029373,0.01300843246281147,0.0033097043633461,8.193581311494802
ret60,过去60日涨幅,2,60,1008275,0.02568747289478779,0.0027364545967429876,4.788690156491805
ret60,过去60日涨幅,3,5,1037577,0.0036650674883276224,0.0010543664684519172,6.591696954024491
ret60,过去60日涨幅,3,10,1034924,0.006832339335232973,0.001704570953734219,7.420317305304022
ret60,过去60日涨幅,3,20,1029635,0.012627284973859787,0.0027237830217927694,8.293140464396336
ret60,过去60日涨幅,3,60,1008562,0.028393251821398735,0.004759557079523802,10.856277611457015
ret60,过去60日涨幅,4,5,1037305,0.0033560798037797213,0.0007458105101250112,5.731245303497915
ret60,过去60日涨幅,4,10,1034658,0.006484718527644873,0.00129883352201432,7.0759168175459655
ret60,过去60日涨幅,4,20,1029366,0.012295957654714584,0.0022717833053320646,8.51650787942587
ret60,过去60日涨幅,4,60,1008280,0.029290471225976944,0.005231281276792288,14.559770702255815
ret60,过去60日涨幅,5,5,1037046,0.003302863799035549,0.0006185774109326303,5.4555365546719425
ret60,过去60日涨幅,5,10,1034403,0.00640250276774168,0.0011459648376330733,7.1740725572484125
ret60,过去60日涨幅,5,20,1029105,0.012150865979492664,0.0019977795891463757,8.428179971988957
ret60,过去60日涨幅,5,60,1008021,0.029244542121887207,0.004935842007398605,14.308971204896578
ret60,过去60日涨幅,6,5,1037820,0.003114846535027027,0.0003206534020137042,3.076294825492384
ret60,过去60日涨幅,6,10,1035177,0.006174012552946806,0.0008183750323951244,5.4626177068200485
ret60,过去60日涨幅,6,20,1029873,0.011737200431525707,0.0015593265416100621,7.276361563315789
ret60,过去60日涨幅,6,60,1008769,0.029077939689159393,0.004614921286702156,13.330130767969955
ret60,过去60日涨幅,7,5,1037582,0.0029023054521530867,8.378263737540692e-05,0.731718259219663
ret60,过去60日涨幅,7,10,1034938,0.0056208474561572075,0.00019242252164985985,1.2044605590695638
ret60,过去60日涨幅,7,20,1029635,0.010743465274572372,0.0005172495148144662,2.3470357257150045
ret60,过去60日涨幅,7,60,1008538,0.027603119611740112,0.0029328882228583097,7.885068892993033
ret60,过去60日涨幅,8,5,1037342,0.002315417630597949,-0.0005712920683436096,-3.765324629085403
ret60,过去60日涨幅,8,10,1034688,0.0044907149858772755,-0.0010992782190442085,-5.23406107136672
ret60,过去60日涨幅,8,20,1029400,0.008936360478401184,-0.0014396206242963672,-4.918045304149778
ret60,过去60日涨幅,8,60,1008289,0.02533404342830181,0.0003546025254763663,0.7910585984111137
ret60,过去60日涨幅,9,5,1037552,0.001357323839329183,-0.0016581538366153836,-7.146329545011095
ret60,过去60日涨幅,9,10,1034897,0.0029458177741616964,-0.002804224379360676,-8.370847753352217
ret60,过去60日涨幅,9,20,1029607,0.006276445463299751,-0.004473232664167881,-9.479660475850935
ret60,过去60日涨幅,9,60,1008521,0.02069818042218685,-0.004748647101223469,-7.786229705278489
ret60,过去60日涨幅,10,5,1038968,-0.0017922569531947374,-0.004797549918293953,-11.12036797916467
ret60,过去60日涨幅,10,10,1036307,-0.002063998719677329,-0.007789914961904287,-12.906710951288744
ret60,过去60日涨幅,10,20,1031011,-0.0011943732388317585,-0.011786011978983879,-13.751132437318198
ret60,过去60日涨幅,10,60,1009903,0.0033105462789535522,-0.021879738196730614,-21.576253629056353
hv20,波动率,1,5,1044634,0.0024325058329850435,-0.0005844350671395659,-1.5822069567151413
hv20,波动率,1,10,1041987,0.004687202163040638,-0.001244845800101757,-2.325561658290494
hv20,波动率,1,20,1036701,0.00985486526042223,-0.0016906836535781622,-2.2810390946987322
hv20,波动率,1,60,1015664,0.028264280408620834,-0.00037734408397227526,-0.3535461001940184
hv20,波动率,2,5,1046065,0.003394488478079438,0.0004613826749846339,2.012862179170621
hv20,波动率,2,10,1043415,0.006393107119947672,0.0006253552273847163,1.9348312088294244
hv20,波动率,2,20,1038134,0.01210018526762724,0.0007844319916330278,1.6603517678862947
hv20,波动率,2,60,1017032,0.0315384566783905,0.0033294465392827988,4.729463172035419
hv20,波动率,3,5,1046334,0.0038951323367655277,0.0009978535817936063,5.960755507743529
