entry,exit,seg,n,mean,win,exw,t
EN5_柱连5日改善,XB_跌破MA20,验证2023-2024,334551,0.003982690072729978,0.3527653481830872,-0.009354998856670535,-3.04201534153759
EN5_柱连5日改善,XB_跌破MA20,测试2025-2026,338252,0.0077759696724678615,0.3761633338457718,-0.018438078835887516,-7.5061048881149315
EN5_柱连5日改善,XC_跌破MA60,训练2015-2022,956059,0.0032820283786713293,0.3825245094706498,-0.012719910022877269,-6.732493973685478
EN5_柱连5日改善,XC_跌破MA60,验证2023-2024,334551,-0.0006816365052447511,0.36082689933672296,-0.01619946692798081,-5.0014712395224254
EN5_柱连5日改善,XC_跌破MA60,测试2025-2026,337488,0.006243874891629769,0.3892079125776324,-0.016912125762666375,-6.594496734088623
EN5_柱连5日改善,XD_ATR2倍止损,训练2015-2022,956059,0.015365126433521363,0.3256619099867268,-0.0073053759173856,-2.9753422225923036
EN5_柱连5日改善,XD_ATR2倍止损,验证2023-2024,334551,0.003642735651610755,0.26621352200411896,-0.008588862965094679,-2.584130736961672
EN5_柱连5日改善,XD_ATR2倍止损,测试2025-2026,310402,0.02801405022265599,0.3482290706889775,-0.014125220396385887,-3.8214601660215424
EN5_柱连5日改善,XD_ATR3倍止损,训练2015-2022,956059,0.01829889996021392,0.3926190747642143,-0.006421126652030107,-2.3764361083222796
EN5_柱连5日改善,XD_ATR3倍止损,验证2023-2024,334551,0.007703941859482283,0.33971203194729654,-0.006355405247902337,-1.5781857966150958
EN5_柱连5日改善,XD_ATR3倍止损,测试2025-2026,305231,0.033586136770649255,0.42391827828759204,-0.015053440349819931,-3.399007724057395
EN5_柱连5日改善,XE_固定止损-5%,训练2015-2022,956059,0.013134761364215632,0.26631201630861695,-0.006496188058714836,-2.978227305938799
EN5_柱连5日改善,XE_固定止损-5%,验证2023-2024,334551,0.0027591137787594065,0.2179876909649052,-0.007866267391108258,-2.8087416780433885
EN5_柱连5日改善,XE_固定止损-5%,测试2025-2026,320097,0.02342572472824393,0.2900558268274929,-0.011213747516157451,-3.602823984951078
EN5_柱连5日改善,XE_固定止损-8%,训练2015-2022,956059,0.016310083906871605,0.3417310019569922,-0.0060592517519556695,-2.4843367309856546
